شناسه_مشترک,جنسیت,سن,ماه_تولد,سابقه_سیم‌کارت_ماه,نسل_اینترنت_همراه,بسته_رومینگ_بین‌الملل,فضای_ابری_اپراتور,بسته_اینترنت_شبانه,سرویس_تماس_VoLTE,سوپراپ_شبکه اجتماعی,سوپراپ_خدمات_مالی,نوع_سیم‌کارت,استفاده_اپلیکیشن_اپراتور,هزینه_ماهیانه_تومان,هزینه_کل_تومان,ریزش
59,زن,44,بهمن,34,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3742500,134145000,خیر
60,زن,52,اردیبهشت,72,5G,خیر,خیر,بله,بله,بله,بله,دائمی,بله,16125000,1178055000,خیر
61,زن,34,آذر,47,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,بله,15075000,706065000,خیر
62,مرد,38,بهمن,60,5G,خیر,بله,خیر,خیر,بله,خیر,اعتباری,بله,13485000,817605000,خیر
63,مرد,27,اردیبهشت,72,4G,بله,بله,بله,خیر,خیر,خیر,دائمی,خیر,6315000,444300000,خیر
64,زن,26,شهریور,18,4G,خیر,خیر,بله,بله,خیر,خیر,دائمی,بله,8160000,143565000,خیر
65,زن,50,مرداد,9,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,خیر,14160000,128587500,بله
66,زن,56,خرداد,3,4G,خیر,بله,خیر,بله,بله,بله,اعتباری,بله,11295000,36615000,خیر
67,مرد,39,آذر,47,5G,خیر,بله,خیر,خیر,خیر,خیر,دائمی,بله,11835000,547552500,خیر
68,زن,52,اسفند,31,3G,خیر,بله,بله,بله,بله,بله,دائمی,خیر,11880000,374580000,خیر
69,زن,44,اسفند,50,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3022500,139635000,خیر
70,مرد,32,تیر,10,5G,بله,خیر,بله,خیر,خیر,خیر,اعتباری,بله,11977500,133102500,خیر
71,مرد,44,شهریور,1,4G,خیر,خیر,خیر,بله,خیر,خیر,اعتباری,خیر,7357500,7357500,خیر
72,زن,58,فروردین,52,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3060000,163597500,خیر
73,مرد,40,دی,64,5G,بله,خیر,بله,بله,بله,بله,دائمی,بله,16740000,1064850000,خیر
74,مرد,59,بهمن,62,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3637500,213690000,خیر
75,زن,18,تیر,3,4G,بله,خیر,خیر,بله,خیر,بله,اعتباری,بله,9675000,26610000,خیر
76,زن,50,مهر,56,5G,بله,بله,بله,خیر,بله,بله,دائمی,خیر,16575000,920925000,خیر
77,زن,41,تیر,46,4G,خیر,خیر,خیر,خیر,خیر,بله,دائمی,خیر,8347500,403327500,خیر
78,زن,36,مرداد,8,4G,بله,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,8197500,72337500,خیر
79,مرد,41,بهمن,30,4G,بله,بله,خیر,خیر,بله,بله,اعتباری,بله,11212500,316695000,خیر
80,زن,18,آبان,45,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3885000,182490000,خیر
81,زن,37,مهر,1,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,11902500,11902500,بله
82,زن,44,تیر,11,4G,بله,خیر,خیر,خیر,بله,بله,اعتباری,خیر,7582500,84802500,خیر
83,زن,58,دی,7,5G,خیر,خیر,بله,خیر,خیر,خیر,اعتباری,بله,11272500,74535000,بله
84,زن,34,فروردین,42,5G,خیر,بله,بله,بله,بله,بله,اعتباری,بله,15570000,649125000,خیر
85,زن,30,مرداد,49,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3022500,146002500,خیر
86,مرد,34,اسفند,9,5G,خیر,بله,خیر,خیر,بله,بله,اعتباری,بله,14895000,137812500,خیر
87,زن,51,مرداد,35,4G,بله,خیر,خیر,خیر,بله,خیر,دائمی,بله,9322500,332317500,خیر
88,زن,44,شهریور,48,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3097500,158550000,خیر
89,زن,34,آبان,46,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,2992500,139065000,خیر
90,مرد,46,مهر,29,4G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,خیر,5062500,151387500,خیر
91,مرد,41,مهر,30,5G,خیر,بله,بله,خیر,خیر,خیر,اعتباری,خیر,12307500,385530000,خیر
92,مرد,52,خرداد,1,5G,خیر,خیر,خیر,بله,خیر,خیر,اعتباری,خیر,11205000,11205000,خیر
93,مرد,32,بهمن,66,4G,بله,خیر,بله,بله,بله,بله,دائمی,بله,12600000,857137500,خیر
94,زن,36,مرداد,65,5G,بله,بله,بله,خیر,بله,بله,اعتباری,بله,16657500,1066050000,خیر
95,مرد,35,خرداد,72,5G,خیر,بله,بله,خیر,بله,بله,دائمی,بله,15135000,1118857500,خیر
96,زن,22,آبان,12,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11842500,139102500,بله
97,مرد,44,اردیبهشت,71,4G,بله,بله,خیر,بله,خیر,خیر,دائمی,بله,10027500,712305000,خیر
98,مرد,43,بهمن,5,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3157500,17077500,بله
99,مرد,40,مهر,52,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3150000,166080000,خیر
100,زن,37,بهمن,25,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,14775000,377175000,بله
101,مرد,23,مهر,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3030000,3030000,خیر
102,زن,35,فروردین,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2917500,2917500,خیر
103,مرد,36,بهمن,38,5G,خیر,خیر,بله,بله,بله,خیر,دائمی,خیر,14250000,540840000,خیر
104,زن,30,آبان,66,4G,خیر,بله,بله,خیر,بله,خیر,دائمی,خیر,6832500,454087500,خیر
105,مرد,38,خرداد,68,5G,خیر,بله,بله,بله,بله,بله,دائمی,بله,16500000,1141777500,بله
106,مرد,45,تیر,5,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,3645000,15030000,خیر
107,زن,63,شهریور,72,5G,بله,بله,خیر,خیر,بله,بله,دائمی,بله,15622500,1095457500,خیر
108,زن,42,مرداد,32,4G,بله,خیر,خیر,خیر,خیر,خیر,دائمی,خیر,4522500,139147500,خیر
109,مرد,43,خرداد,43,5G,خیر,خیر,خیر,خیر,بله,بله,دائمی,خیر,14152500,588195000,خیر
110,مرد,39,مرداد,72,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2910000,204487500,خیر
111,مرد,18,تیر,55,5G,بله,بله,خیر,خیر,بله,خیر,اعتباری,بله,14512500,785835000,بله
112,زن,40,آبان,52,3G,بله,خیر,بله,بله,خیر,خیر,دائمی,خیر,8692500,456337500,خیر
113,زن,41,دی,43,5G,خیر,بله,بله,خیر,بله,خیر,اعتباری,بله,13747500,593115000,خیر
114,زن,70,فروردین,37,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11475000,430222500,بله
115,زن,38,فروردین,64,3G,خیر,بله,خیر,بله,بله,بله,دائمی,بله,8190000,513525000,خیر
116,مرد,44,شهریور,3,5G,بله,بله,خیر,خیر,بله,خیر,اعتباری,خیر,13477500,37260000,خیر
117,زن,40,دی,36,4G,بله,خیر,خیر,خیر,خیر,خیر,دائمی,خیر,4657500,168952500,خیر
118,زن,26,مهر,10,5G,بله,خیر,خیر,خیر,بله,بله,اعتباری,بله,15037500,159697500,بله
119,زن,54,مهر,41,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3097500,125272500,خیر
120,مرد,49,شهریور,27,5G,خیر,بله,خیر,بله,خیر,خیر,اعتباری,بله,12780000,322740000,خیر
121,زن,49,مهر,56,5G,خیر,خیر,بله,خیر,بله,بله,دائمی,بله,14970000,827317500,خیر
122,زن,29,بهمن,6,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3105000,16912500,خیر
123,مرد,57,مرداد,3,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11160000,34432500,بله
124,زن,23,بهمن,7,4G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,7605000,52552500,خیر
125,زن,47,آبان,4,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3127500,9435000,خیر
126,مرد,66,اسفند,33,5G,بله,خیر,خیر,بله,بله,خیر,دائمی,بله,13342500,454147500,خیر
127,زن,28,تیر,27,5G,خیر,خیر,بله,خیر,خیر,خیر,اعتباری,بله,11707500,320325000,بله
128,مرد,33,دی,72,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3532500,258592500,خیر
129,مرد,41,خرداد,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2962500,2962500,خیر
130,مرد,34,تیر,71,4G,بله,بله,خیر,خیر,بله,بله,دائمی,بله,8467500,597802500,خیر
131,زن,21,آذر,13,5G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,12892500,182347500,خیر
132,زن,41,آبان,25,3G,بله,بله,بله,خیر,بله,بله,اعتباری,بله,8790000,225397500,بله
133,مرد,27,اردیبهشت,67,3G,خیر,خیر,خیر,بله,خیر,خیر,دائمی,خیر,7582500,489015000,خیر
134,مرد,46,شهریور,1,4G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,5317500,5317500,بله
135,مرد,29,دی,2,3G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,6652500,12187500,بله
136,زن,59,تیر,43,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3855000,178230000,خیر
137,زن,31,فروردین,23,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11250000,266775000,خیر
138,زن,36,مهر,64,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3030000,191662500,خیر
139,مرد,50,خرداد,57,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,2940000,175582500,خیر
140,زن,25,تیر,1,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10567500,10567500,بله
141,زن,43,مرداد,72,4G,بله,بله,بله,بله,بله,بله,دائمی,بله,13207500,963847500,خیر
142,زن,56,بهمن,8,4G,بله,خیر,خیر,بله,خیر,بله,اعتباری,خیر,10672500,84547500,بله
143,زن,21,آذر,61,5G,خیر,بله,خیر,خیر,بله,بله,دائمی,بله,15157500,895687500,خیر
144,مرد,42,دی,64,5G,بله,بله,خیر,خیر,خیر,خیر,دائمی,بله,12645000,793357500,خیر
145,مرد,43,آذر,71,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3592500,263430000,خیر
146,زن,49,شهریور,65,5G,بله,بله,خیر,بله,بله,خیر,دائمی,بله,14857500,962505000,خیر
147,مرد,25,خرداد,3,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2940000,9202500,خیر
148,مرد,24,آبان,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,6847500,6847500,بله
149,مرد,46,شهریور,30,4G,خیر,بله,بله,خیر,بله,خیر,دائمی,خیر,9675000,289492500,خیر
150,مرد,44,دی,15,3G,خیر,بله,بله,بله,خیر,بله,اعتباری,بله,10425000,160710000,خیر
151,زن,43,فروردین,8,4G,خیر,خیر,خیر,بله,بله,بله,اعتباری,بله,10282500,84652500,خیر
152,مرد,44,دی,7,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,خیر,14250000,98325000,بله
153,زن,32,آذر,70,5G,بله,بله,بله,خیر,بله,بله,دائمی,بله,16222500,1189582500,خیر
154,مرد,43,مهر,62,4G,بله,بله,بله,بله,بله,بله,دائمی,خیر,12915000,782287500,خیر
155,زن,44,خرداد,6,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,2955000,17025000,خیر
156,زن,31,فروردین,14,5G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,12135000,172920000,خیر
157,زن,62,شهریور,22,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,12622500,273292500,خیر
158,مرد,46,تیر,22,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3022500,62985000,خیر
159,مرد,26,بهمن,16,3G,بله,خیر,بله,خیر,بله,خیر,دائمی,خیر,9637500,153600000,خیر
160,مرد,48,خرداد,10,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3855000,37740000,خیر
161,زن,28,تیر,13,4G,بله,بله,خیر,خیر,خیر,خیر,اعتباری,بله,8400000,114682500,خیر
162,زن,49,مهر,20,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,12360000,238852500,بله
163,زن,54,مرداد,2,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10455000,20280000,خیر
164,مرد,30,اردیبهشت,53,4G,خیر,بله,بله,بله,خیر,بله,دائمی,بله,11085000,593737500,خیر
165,زن,52,تیر,11,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3090000,35085000,خیر
166,مرد,45,اردیبهشت,69,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2985000,204517500,خیر
167,زن,50,مرداد,4,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10635000,40950000,بله
168,مرد,63,آذر,72,4G,بله,بله,بله,بله,بله,بله,دائمی,بله,13357500,938167500,خیر
169,مرد,37,آذر,58,3G,خیر,بله,بله,خیر,خیر,بله,اعتباری,بله,6795000,397680000,بله
170,زن,31,بهمن,16,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3060000,48210000,خیر
171,مرد,29,خرداد,43,5G,بله,خیر,بله,بله,خیر,خیر,دائمی,بله,12637500,530887500,خیر
172,زن,30,خرداد,2,5G,خیر,خیر,بله,بله,بله,بله,اعتباری,بله,15660000,36420000,بله
173,مرد,39,آبان,14,4G,خیر,بله,بله,بله,بله,بله,دائمی,خیر,12292500,177262500,خیر
174,زن,44,خرداد,53,5G,خیر,خیر,بله,خیر,بله,بله,دائمی,بله,14227500,750030000,بله
175,زن,43,اردیبهشت,32,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3082500,98182500,خیر
176,زن,50,خرداد,34,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3705000,117030000,خیر
177,زن,40,آبان,15,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,11167500,171855000,بله
178,زن,57,اردیبهشت,7,5G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,11467500,75540000,بله
179,زن,37,بهمن,15,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15802500,233887500,خیر
180,مرد,73,بهمن,61,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,بله,3082500,187800000,خیر
181,زن,48,فروردین,1,3G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,4492500,4492500,بله
182,زن,30,بهمن,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,6795000,6795000,خیر
183,مرد,27,شهریور,8,5G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,خیر,12675000,99397500,بله
184,مرد,46,تیر,33,3G,بله,خیر,بله,خیر,بله,بله,دائمی,خیر,11212500,367995000,خیر
185,زن,37,شهریور,13,5G,خیر,بله,بله,خیر,خیر,خیر,اعتباری,بله,11887500,166747500,بله
186,زن,49,خرداد,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,3720000,3720000,بله
187,مرد,46,مهر,20,3G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,7770000,153577500,خیر
188,مرد,39,اردیبهشت,3,3G,خیر,خیر,خیر,بله,خیر,خیر,اعتباری,خیر,4560000,12322500,خیر
189,زن,30,بهمن,13,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2947500,36720000,خیر
190,زن,22,اردیبهشت,40,3G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,8490000,356865000,خیر
